"measure","tp","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MTSRFAMD","A7","fivedasc_dis_total",0.234,0.308,0.242,0.465,0.331,0.311,"","",""
"MTSRFAMD","A7","fivedasc_imp_total",-0.457,-0.483,-0.333,0.136,0.115,0.153,"","",""
"MTSRFAMD","A7","fivedasc_anx_total",-0.169,-0.105,-0.121,0.6,0.749,0.638,"","",""
"MTSRFAMD","A7","fivedasc_cimg_total",0.161,0.175,0.137,0.616,0.586,0.536,"","",""
"MTSRFAMD","A7","fivedasc_eimg_total",0.103,0.154,0.121,0.751,0.635,0.638,"","",""
"MTSRFAMD","A7","fivedasc_av_total",0.075,0,0.061,0.817,1,0.841,"","",""
"MTSRFAMD","A7","fivedasc_per_total",0.088,0.364,0.273,0.787,0.246,0.25,"","",""
"MTSRFAMD","A7","boundlessMean",0.483,0.49,0.394,0.112,0.11,0.086,"","",""
"MTSRFAMD","A7","anxiousEgoMean",-0.085,0.161,0.091,0.793,0.619,0.737,"","",""
"MTSRFAMD","A7","visionaryMean",0.141,0.168,0.182,0.661,0.604,0.459,"","",""
"MTSRFAMD","B30","age",0.327,0.35,0.242,0.299,0.266,0.311,"","",""
"MTSRFAMD","B30","LED",-0.48,-0.371,-0.261,0.192,0.325,0.34,"","",""
"MTSRFAMD","B30","severity",0.8,0.776,0.667,0.002,0.005,0.002,"**","**","**"
"MTSRFAMD","B30","fivedasc_util_total",0.243,0.238,0.182,0.446,0.457,0.459,"","",""
"MTSRFAMD","B30","fivedasc_sprit_total",0.378,0.378,0.303,0.225,0.227,0.197,"","",""
"MTSRFAMD","B30","fivedasc_bliss_total",0.323,0.322,0.242,0.306,0.308,0.311,"","",""
"MTSRFAMD","B30","fivedasc_insight_total",0.434,0.462,0.333,0.158,0.134,0.153,"","",""
"MTSRFAMD","B30","fivedasc_dis_total",0.329,0.266,0.182,0.296,0.404,0.459,"","",""
"MTSRFAMD","B30","fivedasc_imp_total",-0.402,-0.224,-0.152,0.196,0.485,0.545,"","",""
"MTSRFAMD","B30","fivedasc_anx_total",-0.265,-0.07,-0.061,0.405,0.834,0.841,"","",""
"MTSRFAMD","B30","fivedasc_cimg_total",-0.073,0.095,0.076,0.822,0.77,0.731,"","",""
"MTSRFAMD","B30","fivedasc_eimg_total",0.159,0.35,0.242,0.622,0.266,0.311,"","",""
"MTSRFAMD","B30","fivedasc_av_total",-0.039,0,0,0.905,1,1,"","",""
"MTSRFAMD","B30","fivedasc_per_total",0.058,0.238,0.152,0.859,0.457,0.545,"","",""
"MTSRFAMD","B30","boundlessMean",0.352,0.294,0.212,0.261,0.354,0.381,"","",""
"MTSRFAMD","B30","anxiousEgoMean",-0.041,0.084,0.091,0.899,0.8,0.737,"","",""
"MTSRFAMD","B30","visionaryMean",0.05,0.084,0,0.877,0.8,1,"","",""
"MTSRFAMD","B7","age",0.175,0.259,0.182,0.586,0.417,0.459,"","",""
"MTSRFAMD","B7","LED",-0.385,-0.203,-0.145,0.306,0.601,0.596,"","",""
"MTSRFAMD","B7","severity",0.196,0.098,0.061,0.541,0.766,0.841,"","",""
"MTSRFAMD","B7","fivedasc_util_total",0.066,-0.252,-0.182,0.839,0.43,0.459,"","",""
"MTSRFAMD","B7","fivedasc_sprit_total",0.143,-0.175,-0.121,0.657,0.588,0.638,"","",""
"MTSRFAMD","B7","fivedasc_bliss_total",0.133,-0.14,-0.121,0.679,0.667,0.638,"","",""
"MTSRFAMD","B7","fivedasc_insight_total",0.209,-0.077,-0.091,0.515,0.817,0.737,"","",""
"MTSRFAMD","B7","fivedasc_dis_total",-0.268,-0.406,-0.303,0.401,0.193,0.197,"","",""
"MTSRFAMD","B7","fivedasc_imp_total",-0.475,-0.189,-0.152,0.119,0.558,0.545,"","",""
"MTSRFAMD","B7","fivedasc_anx_total",-0.111,0.077,0.061,0.73,0.817,0.841,"","",""
"MTSRFAMD","B7","fivedasc_cimg_total",0.155,0.172,0.107,0.63,0.594,0.63,"","",""
"MTSRFAMD","B7","fivedasc_eimg_total",0.19,0.224,0.121,0.554,0.485,0.638,"","",""
"MTSRFAMD","B7","fivedasc_av_total",0.111,-0.056,0,0.732,0.869,1,"","",""
"MTSRFAMD","B7","fivedasc_per_total",-0.138,-0.287,-0.273,0.669,0.366,0.25,"","",""
"MTSRFAMD","B7","boundlessMean",0.141,-0.196,-0.152,0.663,0.543,0.545,"","",""
"MTSRFAMD","B7","anxiousEgoMean",-0.428,-0.231,-0.152,0.165,0.471,0.545,"","",""
"MTSRFAMD","B7","visionaryMean",0.105,-0.021,-0.061,0.746,0.956,0.841,"","",""
"MTSRFAMD","bsl","age",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","LED",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","severity",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","fivedasc_util_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","fivedasc_sprit_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","fivedasc_bliss_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","fivedasc_insight_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","fivedasc_dis_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","fivedasc_imp_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","fivedasc_anx_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSRFAMD","bsl","fivedasc_cimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
