"measure","tp","pred","pearso_p","spearman_p","kendall_p","pearson.sig","spearman.sig","kendall.sig"
"OTSMDLFC","A7","fivedasc_insight_total",0.601,0.379,0.381,"","",""
"OTSMDLFC","A7","fivedasc_dis_total",0.945,0.904,0.841,"","",""
"OTSMDLFC","A7","fivedasc_imp_total",0.226,0.485,0.545,"","",""
"OTSMDLFC","A7","fivedasc_anx_total",0.084,0.366,0.311,"","",""
"OTSMDLFC","A7","fivedasc_cimg_total",0.695,0.609,0.63,"","",""
"OTSMDLFC","A7","fivedasc_eimg_total",0.894,0.991,1,"","",""
"OTSMDLFC","A7","fivedasc_av_total",0.954,0.588,0.638,"","",""
"OTSMDLFC","A7","fivedasc_per_total",0.321,0.43,0.381,"","",""
"OTSMDLFC","A7","boundlessMean",0.498,0.635,0.545,"","",""
"OTSMDLFC","A7","anxiousEgoMean",0.228,0.514,0.545,"","",""
"OTSMDLFC","A7","visionaryMean",0.78,0.921,1,"","",""
"OTSMDLFC","B30","age",0.13,0.071,0.116,"","",""
"OTSMDLFC","B30","LED",0.316,0.291,0.34,"","",""
"OTSMDLFC","B30","severity",0.329,0.14,0.197,"","",""
"OTSMDLFC","B30","fivedasc_util_total",0.085,0.404,0.311,"","",""
"OTSMDLFC","B30","fivedasc_sprit_total",0.073,0.404,0.311,"","",""
"OTSMDLFC","B30","fivedasc_bliss_total",0.139,0.7,0.638,"","",""
"OTSMDLFC","B30","fivedasc_insight_total",0.092,0.573,0.545,"","",""
"OTSMDLFC","B30","fivedasc_dis_total",0.517,0.733,0.841,"","",""
"OTSMDLFC","B30","fivedasc_imp_total",0.333,0.134,0.25,"","",""
"OTSMDLFC","B30","fivedasc_anx_total",0.818,0.499,0.638,"","",""
"OTSMDLFC","B30","fivedasc_cimg_total",0.698,0.704,0.63,"","",""
"OTSMDLFC","B30","fivedasc_eimg_total",0.191,0.227,0.311,"","",""
"OTSMDLFC","B30","fivedasc_av_total",0.008,0.028,0.031,"**","*","*"
"OTSMDLFC","B30","fivedasc_per_total",0.186,0.651,0.545,"","",""
"OTSMDLFC","B30","boundlessMean",0.087,0.43,0.381,"","",""
"OTSMDLFC","B30","anxiousEgoMean",0.996,0.749,0.737,"","",""
