"measure","tp","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MTSRFAMD","B30","severity",0.79,0.804,0.606,0.002,0.003,0.005,"**","**","**"
"MTSRFAMD","B30","fivedasc_util_total",0.33,0.378,0.242,0.295,0.227,0.311,"","",""
"MTSRFAMD","B30","fivedasc_sprit_total",0.449,0.462,0.364,0.143,0.134,0.116,"","",""
"MTSRFAMD","B30","fivedasc_bliss_total",0.415,0.503,0.364,0.18,0.099,0.116,"","",""
"MTSRFAMD","B30","fivedasc_insight_total",0.502,0.503,0.333,0.096,0.099,0.153,"","",""
"MTSRFAMD","B30","fivedasc_dis_total",0.459,0.378,0.303,0.133,0.227,0.197,"","",""
"MTSRFAMD","B30","fivedasc_imp_total",-0.036,-0.084,-0.03,0.911,0.8,0.947,"","",""
"MTSRFAMD","B30","fivedasc_anx_total",-0.056,-0.042,-0.061,0.863,0.904,0.841,"","",""
"MTSRFAMD","B30","fivedasc_cimg_total",0.097,0.056,0.015,0.764,0.863,0.945,"","",""
"MTSRFAMD","B30","fivedasc_eimg_total",-0.011,0.077,0.061,0.974,0.817,0.841,"","",""
"MTSRFAMD","B30","fivedasc_av_total",-0.249,-0.231,-0.182,0.436,0.471,0.459,"","",""
"MTSRFAMD","B30","fivedasc_per_total",0.106,0.343,0.273,0.743,0.276,0.25,"","",""
"MTSRFAMD","B30","boundlessMean",0.434,0.413,0.273,0.159,0.184,0.25,"","",""
"MTSRFAMD","B30","anxiousEgoMean",0.293,0.231,0.152,0.356,0.471,0.545,"","",""
"MTSRFAMD","B30","visionaryMean",-0.028,-0.07,-0.061,0.931,0.834,0.841,"","",""
"MTSRFAMD","B7","age",0.597,0.545,0.424,0.041,0.071,0.063,"*","",""
"MTSRFAMD","B7","LED",-0.07,-0.16,-0.145,0.858,0.68,0.596,"","",""
"MTSRFAMD","B7","severity",0.569,0.566,0.303,0.054,0.059,0.197,"","",""
"MTSRFAMD","B7","fivedasc_util_total",0.288,0.371,0.242,0.364,0.237,0.311,"","",""
"MTSRFAMD","B7","fivedasc_sprit_total",0.393,0.413,0.303,0.206,0.184,0.197,"","",""
"MTSRFAMD","B7","fivedasc_bliss_total",0.382,0.524,0.364,0.22,0.084,0.116,"","",""
"MTSRFAMD","B7","fivedasc_insight_total",0.463,0.483,0.333,0.13,0.115,0.153,"","",""
